Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
Sri Lanka,field,India,Sri Lanka,India,Visakhapatnam,"[1, 3, 1, 2, 7, 2, 1, 10, 9, 10, 10]",2.0,"[73.21, 80.25, 76.08, 76.64, 86.43, 76.81, 67.51, 30.22, 36.0, 32.62, 32.7]",8,0
India,field,India,Sri Lanka,India,Mohali,"[1, 3, 1, 2, 1, 2, 7, 10, 10, 10, 10]",2.0,"[86.82, 75.92, 95.66, 82.9, 93.41, 79.41, 32.8, 112.5, 69.78, 32.42, 37.12]",0,141
Sri Lanka,field,India,Sri Lanka,Sri Lanka,Dharamsala,"[5, 2, 2, 1, 2, 7, 7, 9, 10, 10, 10]",2.0,"[91.97, 91.35, 101.27, 87.56, 110.35, 73.24, 126.15, 35.11, 28.94, 23.55, 25.09]",7,0
Sri Lanka,field,Pakistan,Sri Lanka,Pakistan,Sharjah,"[2, 5, 2, 1, 2, 7, 7, 9, 7, 10, 10]",1.0,"[91.97, 91.35, 101.27, 73.24, 126.15, 87.56, 110.35, 35.11, 26.01, 23.55, 25.09]",9,0
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Sharjah,"[2, 5, 2, 4, 1, 7, 10, 9, 7, 10, 10]",3.0,"[75.92, 95.66, 74.24, 72.27, 93.41, 98.28, 94.6, 32.8, 31.44, 35.17, 67.4]",7,0
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Abu Dhabi,"[3, 3, 5, 7, 7, 2, 7, 7, 10, 10, 10]",2.0,"[93.41, 75.92, 74.24, 72.27, 95.66, 98.28, 94.6, 32.8, 69.78, 32.42, 43.55]",7,0
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Abu Dhabi,"[3, 3, 5, 7, 7, 2, 7, 10, 10, 7, 10]",3.0,"[93.41, 75.92, 74.24, 72.04, 72.27, 98.28, 31.44, 32.8, 69.78, 35.17, 43.55]",0,32
Pakistan,bat,Pakistan,Sri Lanka,Pakistan,Dubai (DSC),"[2, 5, 3, 1, 7, 7, 7, 7, 7, 10, 10]",3.0,"[93.44, 72.08, 88.75, 76.61, 81.9, 87.85, 131.7, 85.75, 30.84, 27.5, 29.23]",0,83
Sri Lanka,field,Sri Lanka,India,India,Colombo (RPS),"[1, 3, 1, 7, 2, 1, 2, 9, 10, 10, 10]",3.0,"[93.44, 72.08, 88.75, 76.61, 81.9, 87.85, 131.7, 30.84, 27.5, 85.75, 29.23]",6,0
Sri Lanka,bat,Sri Lanka,India,India,Colombo (RPS),"[2, 2, 2, 1, 7, 4, 7, 7, 10, 10, 10]",1.0,"[93.41, 75.92, 131.09, 72.27, 82.9, 98.28, 111.04, 69.78, 42.3, 67.4, 28.87]",0,168
India,bat,Sri Lanka,India,India,Pallekele,"[2, 7, 2, 5, 7, 7, 4, 7, 10, 10, 10]",2.0,"[91.97, 91.35, 93.58, 110.35, 87.82, 126.15, 87.56, 32.86, 26.01, 23.55, 30.98]",6,0
Sri Lanka,bat,Sri Lanka,India,India,Pallekele,"[2, 7, 2, 5, 7, 4, 7, 9, 10, 10, 10]",2.0,"[93.41, 74.24, 86.6, 72.27, 82.9, 72.04, 98.28, 69.78, 35.17, 67.4, 28.87]",3,0
India,field,Sri Lanka,India,India,Dambulla,"[2, 7, 2, 5, 7, 5, 7, 10, 7, 10, 10]",3.0,"[93.41, 86.82, 86.6, 75.92, 82.9, 98.28, 72.04, 69.78, 35.17, 67.4, 28.87]",9,0
India,field,Sri Lanka,Zimbabwe,Zimbabwe,Hambantota,"[2, 7, 7, 5, 5, 2, 7, 10, 10, 10, 10]",3.0,"[93.41, 86.82, 86.6, 75.92, 82.9, 72.04, 111.04, 32.8, 57.0, 28.87, 67.4]",3,0
Zimbabwe,field,Sri Lanka,Zimbabwe,Zimbabwe,Hambantota,"[1, 5, 1, 4, 4, 5, 8, 2, 10, 7, 10]",3.0,"[93.41, 86.82, 86.6, 75.92, 82.9, 79.41, 111.04, 33.92, 69.78, 35.17, 28.87]",4,0
Sri Lanka,bat,Sri Lanka,Zimbabwe,Sri Lanka,Hambantota,"[1, 5, 4, 4, 8, 4, 5, 2, 10, 10, 10]",1.0,"[93.41, 86.82, 82.9, 75.92, 79.41, 86.6, 111.04, 28.87, 53.8, 35.17, 57.0]",8,0
Sri Lanka,field,Sri Lanka,Zimbabwe,Sri Lanka,Galle,"[2, 7, 2, 5, 7, 5, 7, 10, 10, 10, 7]",3.0,"[73.21, 80.25, 79.58, 76.08, 86.69, 76.81, 86.43, 67.51, 30.22, 58.18, 32.62]",7,0
Sri Lanka,field,Sri Lanka,Zimbabwe,Zimbabwe,Galle,"[2, 7, 2, 2, 7, 7, 5, 9, 10, 10, 10]",3.0,"[73.21, 80.25, 76.08, 86.69, 86.43, 79.55, 76.81, 67.51, 30.22, 40.44, 32.62]",6,0
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Cardiff,"[1, 3, 1, 4, 2, 7, 8, 7, 10, 10, 10]",2.0,"[93.41, 86.82, 86.6, 75.92, 82.9, 79.41, 75.86, 28.87, 37.12, 19.75, 69.78]",3,0
Pakistan,field,India,Sri Lanka,Sri Lanka,The Oval,"[1, 2, 4, 2, 4, 8, 9, 10, 10, 10, 10]",3.0,"[93.41, 86.82, 86.6, 74.24, 82.9, 78.59, 79.41, 32.8, 32.42, 28.87, 37.12]",7,0
Sri Lanka,field,South Africa,Sri Lanka,South Africa,The Oval,"[7, 5, 2, 2, 7, 5, 9, 7, 7, 10, 10]",1.0,"[91.97, 91.35, 93.58, 87.67, 87.56, 110.35, 123.23, 85.06, 35.11, 33.63, 23.55]",0,96
Sri Lanka,field,Sri Lanka,Bangladesh,Sri Lanka,Colombo (SSC),"[7, 5, 2, 2, 5, 7, 9, 7, 10, 10, 10]",1.0,"[88.39, 96.64, 88.6, 101.09, 144.55, 84.55, 36.58, 30.4, 27.77, 25.32, 24.83]",0,70
Bangladesh,field,Sri Lanka,Bangladesh,no result,Dambulla,"[3, 4, 4, 2, 7, 4, 7, 7, 10, 10, 10]",3.0,"[86.82, 75.92, 86.6, 74.24, 98.28, 79.41, 32.8, 94.6, 76.38, 33.92, 32.42]",0,0
Sri Lanka,field,Sri Lanka,Bangladesh,Bangladesh,Dambulla,"[2, 1, 4, 2, 8, 8, 9, 10, 9, 10, 10]",1.0,"[86.82, 75.92, 86.6, 74.24, 79.41, 98.28, 32.8, 76.38, 33.92, 32.42, 37.12]",0,90
Sri Lanka,field,South Africa,Sri Lanka,South Africa,Centurion,"[1, 2, 4, 2, 8, 8, 10, 9, 10, 10, 10]",2.0,"[78.52, 97.48, 91.23, 79.74, 82.84, 82.76, 76.92, 78.34, 32.93, 29.98, 26.26]",0,88
Sri Lanka,field,South Africa,Sri Lanka,South Africa,Cape Town,"[2, 5, 2, 2, 7, 5, 7, 7, 10, 10, 10]",2.0,"[96.64, 88.39, 88.6, 101.09, 84.55, 128.21, 36.58, 30.4, 31.74, 24.83, 27.77]",0,40
South Africa,bat,South Africa,Sri Lanka,South Africa,Johannesburg,"[1, 2, 4, 2, 8, 4, 9, 10, 9, 10, 10]",1.0,"[88.39, 96.64, 88.6, 101.09, 84.55, 128.21, 30.4, 27.05, 24.83, 27.77, 31.72]",7,0
South Africa,field,South Africa,Sri Lanka,South Africa,Durban,"[2, 2, 2, 2, 5, 7, 5, 10, 10, 10, 10]",1.0,"[93.41, 75.92, 86.6, 74.24, 78.59, 79.41, 112.5, 75.86, 32.42, 32.28, 57.0]",0,121
Sri Lanka,field,South Africa,Sri Lanka,South Africa,Gqeberha,"[1, 2, 1, 4, 8, 4, 5, 10, 10, 10, 10]",1.0,"[88.39, 96.64, 88.6, 101.09, 84.55, 144.55, 36.58, 30.4, 31.74, 27.77, 24.83]",8,0
South Africa,field,Zimbabwe,Sri Lanka,Sri Lanka,Bulawayo,"[7, 2, 2, 2, 8, 5, 5, 7, 10, 10, 10]",2.0,"[93.41, 91.81, 86.6, 74.24, 75.92, 78.59, 79.41, 33.92, 31.44, 32.42, 57.0]",6,0
Zimbabwe,bat,Sri Lanka,West Indies,Sri Lanka,Bulawayo,"[3, 1, 4, 8, 4, 7, 2, 10, 10, 10, 10]",1.0,"[73.21, 67.51, 79.58, 76.08, 86.43, 86.69, 76.81, 30.22, 40.44, 28.5, 35.9]",0,0
West Indies,field,Zimbabwe,Sri Lanka,no result,Bulawayo,"[2, 3, 3, 2, 8, 4, 7, 9, 10, 10, 10]",1.0,"[78.59, 92.88, 93.41, 86.6, 108.55, 75.92, 79.41, 112.5, 33.92, 37.12, 32.42]",0,0
Sri Lanka,field,Sri Lanka,West Indies,West Indies,Harare,"[3, 1, 4, 8, 4, 2, 7, 10, 10, 7, 10]",1.0,"[46.61, 63.22, 76.08, 86.43, 86.69, 80.02, 67.51, 30.22, 40.44, 38.5, 28.5]",0,62
Sri Lanka,field,Zimbabwe,Sri Lanka,Sri Lanka,Harare,"[7, 7, 2, 2, 5, 2, 7, 7, 7, 10, 10]",3.0,"[130.88, 57.55, 151.97, 77.58, 100.4, 144.81, 91.04, 36.96, 39.75, 49.05, 34.36]",8,0
Sri Lanka,field,Sri Lanka,Australia,Australia,Pallekele,"[7, 3, 2, 2, 7, 7, 2, 9, 7, 7, 10]",2.0,"[46.61, 63.22, 76.08, 86.43, 86.69, 67.51, 80.02, 30.22, 40.44, 58.18, 46.52]",5,0
Sri Lanka,bat,Sri Lanka,Australia,Australia,Dambulla,"[7, 7, 2, 2, 7, 7, 2, 9, 7, 7, 10]",1.0,"[78.59, 86.82, 86.6, 74.24, 75.92, 92.88, 91.47, 112.5, 76.38, 32.42, 19.75]",6,0
Sri Lanka,bat,Sri Lanka,Australia,Australia,Dambulla,"[7, 7, 2, 2, 7, 7, 2, 9, 7, 7, 10]",1.0,"[78.59, 92.91, 86.6, 74.24, 82.9, 90.76, 92.88, 32.8, 112.5, 76.38, 19.75]",2,0
Sri Lanka,bat,Sri Lanka,Australia,Sri Lanka,Colombo (RPS),"[2, 7, 2, 2, 7, 7, 7, 9, 7, 10, 10]",3.0,"[86.82, 86.23, 86.6, 74.24, 82.9, 78.59, 92.88, 32.8, 94.6, 76.38, 19.75]",0,82
Sri Lanka,bat,Sri Lanka,Australia,Australia,Colombo (RPS),"[3, 5, 1, 4, 2, 2, 7, 10, 10, 9, 10]",1.0,"[86.82, 86.23, 86.6, 74.24, 82.9, 78.59, 92.88, 32.8, 94.6, 76.38, 19.75]",3,0
Australia,field,England,Sri Lanka,England,Cardiff,"[2, 7, 2, 2, 7, 7, 7, 5, 7, 10, 10]",2.0,"[92.88, 86.23, 86.6, 74.24, 82.9, 78.59, 98.28, 32.8, 76.38, 19.75, 57.0]",0,122
Sri Lanka,field,England,Sri Lanka,England,The Oval,"[2, 7, 2, 2, 7, 7, 5, 7, 7, 10, 10]",3.0,"[105.53, 87.62, 86.77, 91.16, 102.92, 117.11, 89.12, 29.7, 36.08, 23.13, 32.04]",6,0
England,field,England,Sri Lanka,no result,Bristol,"[2, 7, 2, 2, 7, 7, 5, 7, 10, 10, 10]",2.0,"[92.88, 86.82, 86.6, 74.24, 82.9, 94.6, 91.47, 75.92, 86.01, 37.12, 32.42]",0,0
England,field,England,Sri Lanka,England,Birmingham,"[2, 7, 2, 2, 7, 7, 5, 7, 7, 10, 10]",3.0,"[92.88, 86.82, 86.6, 74.24, 82.9, 94.6, 75.92, 91.47, 86.01, 32.42, 37.12]",10,0
Sri Lanka,bat,England,Sri Lanka,tied,Nottingham,"[2, 7, 7, 7, 7, 7, 2, 2, 5, 10, 10]",2.0,"[92.88, 86.82, 86.6, 74.24, 82.9, 94.6, 75.92, 86.01, 33.72, 32.42, 37.12]",0,0
England,field,Ireland,Sri Lanka,Sri Lanka,Dublin (Malahide),"[2, 7, 2, 2, 7, 7, 7, 5, 7, 10, 10]",3.0,"[92.88, 86.82, 86.6, 74.24, 82.9, 94.6, 75.92, 91.47, 86.01, 32.42, 37.12]",0,136
Ireland,field,Ireland,Sri Lanka,Sri Lanka,Dublin (Malahide),"[3, 2, 1, 4, 1, 2, 9, 10, 10, 10, 10]",2.0,"[92.88, 86.82, 94.6, 91.47, 86.01, 82.9, 74.24, 86.6, 75.92, 32.66, 32.42]",0,76
Ireland,field,New Zealand,Sri Lanka,New Zealand,Mount Maunganui,"[3, 2, 1, 4, 1, 9, 2, 10, 10, 10, 10]",2.0,"[92.88, 86.82, 86.6, 74.24, 82.9, 91.47, 94.6, 75.92, 78.59, 32.66, 37.12]",0,36
Sri Lanka,field,New Zealand,Sri Lanka,no result,Nelson,"[3, 2, 1, 4, 1, 9, 2, 10, 10, 10, 10]",1.0,"[87.29, 85.71, 81.38, 83.32, 81.07, 114.5, 37.0, 35.73, 24.98, 26.39, 24.38]",0,0
Sri Lanka,field,New Zealand,Sri Lanka,Sri Lanka,Nelson,"[7, 7, 1, 2, 7, 7, 4, 10, 10, 10, 10]",3.0,"[87.29, 85.71, 81.38, 83.32, 81.07, 37.0, 114.5, 24.98, 26.39, 35.73, 26.3]",8,0
New Zealand,bat,New Zealand,Sri Lanka,New Zealand,Christchurch,"[7, 7, 1, 2, 7, 7, 4, 10, 10, 10, 10]",3.0,"[87.29, 85.71, 81.38, 83.32, 81.07, 37.0, 114.5, 32.5, 24.98, 33.7, 26.3]",10,0
Sri Lanka,bat,New Zealand,Sri Lanka,New Zealand,Christchurch,"[2, 1, 4, 1, 1, 2, 8, 9, 7, 9, 10]",1.0,"[86.82, 86.23, 72.27, 74.24, 82.9, 98.28, 72.04, 33.92, 35.35, 35.17, 31.44]",7,0
Sri Lanka,bat,Sri Lanka,West Indies,Sri Lanka,Pallekele,"[2, 1, 4, 1, 1, 8, 4, 7, 10, 9, 10]",1.0,"[86.82, 86.23, 72.27, 74.24, 82.9, 98.28, 72.04, 33.92, 21.86, 35.17, 32.42]",0,19
Sri Lanka,field,Sri Lanka,West Indies,Sri Lanka,Colombo (RPS),"[1, 2, 1, 1, 8, 7, 7, 9, 2, 10, 9]",3.0,"[130.88, 111.37, 56.09, 70.11, 75.11, 80.35, 62.1, 36.96, 91.04, 26.46, 29.35]",8,0
West Indies,bat,Sri Lanka,West Indies,Sri Lanka,Colombo (RPS),"[2, 7, 1, 2, 7, 7, 9, 7, 10, 10, 10]",2.0,"[130.88, 111.37, 56.09, 70.11, 75.11, 46.7, 87.37, 91.04, 29.53, 26.46, 29.35]",0,0
Sri Lanka,field,Sri Lanka,Pakistan,Sri Lanka,Hambantota,"[2, 7, 1, 7, 2, 7, 7, 7, 10, 10, 10]",3.0,"[111.37, 130.88, 70.11, 75.11, 100.4, 130.22, 91.04, 36.96, 80.35, 29.53, 26.46]",0,165
Sri Lanka,bat,Sri Lanka,Pakistan,Pakistan,Colombo (RPS),"[3, 1, 7, 2, 7, 2, 7, 10, 10, 10, 10]",2.0,"[92.88, 86.23, 72.27, 74.24, 82.9, 98.28, 32.8, 87.09, 35.35, 32.42, 43.55]",7,0
Sri Lanka,bat,Sri Lanka,Pakistan,Pakistan,Colombo (RPS),"[1, 3, 7, 5, 7, 2, 2, 10, 10, 10, 10]",1.0,"[92.88, 86.23, 72.27, 82.9, 74.24, 87.09, 98.28, 112.5, 28.87, 32.42, 37.12]",0,135
Pakistan,bat,Sri Lanka,Pakistan,Sri Lanka,Pallekele,"[2, 7, 1, 5, 7, 2, 9, 7, 7, 10, 10]",3.0,"[72.08, 74.45, 76.61, 87.85, 81.9, 89.8, 131.7, 36.7, 47.91, 36.55, 30.71]",2,0
Pakistan,bat,Sri Lanka,Pakistan,Pakistan,Dambulla,"[2, 7, 2, 1, 5, 7, 9, 10, 10, 10, 10]",3.0,"[74.45, 72.08, 76.61, 88.75, 81.9, 89.8, 87.85, 36.7, 47.91, 36.55, 30.71]",6,0
Pakistan,field,South Africa,Sri Lanka,South Africa,Sydney,"[1, 7, 2, 5, 7, 2, 9, 7, 10, 10, 10]",2.0,"[92.88, 86.23, 72.27, 75.92, 82.9, 74.24, 32.8, 98.28, 94.6, 28.87, 32.42]",9,0
Sri Lanka,bat,Scotland,Sri Lanka,Sri Lanka,Hobart,"[1, 3, 4, 4, 8, 7, 9, 2, 10, 10, 10]",2.0,"[92.88, 86.23, 78.86, 72.27, 78.96, 82.9, 32.8, 33.92, 46.7, 35.17, 28.87]",0,148
Sri Lanka,bat,Australia,Sri Lanka,Australia,Sydney,"[8, 1, 4, 1, 4, 4, 2, 7, 10, 10, 10]",3.0,"[72.27, 86.23, 78.86, 78.96, 82.9, 92.88, 32.8, 94.6, 33.92, 28.87, 35.17]",0,64
Australia,bat,England,Sri Lanka,Sri Lanka,Wellington,"[1, 7, 2, 3, 5, 7, 2, 9, 10, 10, 10]",3.0,"[87.73, 97.26, 87.41, 78.98, 126.91, 90.44, 30.85, 84.24, 25.26, 22.96, 40.43]",9,0
England,bat,Bangladesh,Sri Lanka,Sri Lanka,Melbourne,"[1, 1, 4, 7, 7, 4, 2, 10, 10, 10, 10]",3.0,"[98.16, 77.16, 71.04, 86.77, 91.16, 80.12, 117.11, 89.12, 30.13, 29.37, 29.22]",0,92
Sri Lanka,bat,Afghanistan,Sri Lanka,Sri Lanka,Dunedin,"[3, 2, 1, 4, 7, 8, 2, 7, 10, 10, 10]",2.0,"[72.27, 86.23, 78.86, 79.56, 78.96, 82.9, 74.24, 32.8, 31.91, 28.87, 32.42]",4,0
Sri Lanka,field,New Zealand,Sri Lanka,New Zealand,Christchurch,"[1, 7, 2, 5, 7, 2, 9, 10, 3, 10, 10]",2.0,"[76.01, 111.47, 66.77, 118.06, 86.62, 138.54, 54.09, 31.71, 24.5, 16.57, 24.51]",0,98
Sri Lanka,field,New Zealand,Sri Lanka,Sri Lanka,Wellington,"[3, 2, 1, 4, 8, 2, 7, 7, 10, 10, 10]",1.0,"[87.29, 96.37, 81.38, 83.32, 81.78, 108.72, 114.5, 82.98, 33.7, 24.98, 24.38]",0,34
Sri Lanka,bat,New Zealand,Sri Lanka,New Zealand,Dunedin,"[3, 2, 1, 4, 7, 8, 2, 10, 10, 10, 10]",1.0,"[72.27, 86.23, 78.86, 78.96, 94.6, 74.24, 32.8, 33.92, 79.56, 32.66, 35.17]",0,120
New Zealand,bat,New Zealand,Sri Lanka,New Zealand,Dunedin,"[3, 7, 2, 5, 7, 1, 9, 7, 10, 10, 10]",3.0,"[87.29, 96.37, 81.38, 83.32, 108.72, 114.5, 81.78, 82.98, 27.02, 24.38, 26.3]",0,108
Sri Lanka,field,New Zealand,Sri Lanka,New Zealand,Nelson,"[3, 2, 2, 4, 8, 7, 2, 10, 10, 10, 10]",3.0,"[87.29, 96.37, 81.38, 83.32, 81.78, 108.72, 114.5, 22.03, 33.7, 26.3, 24.38]",4,0
Sri Lanka,bat,New Zealand,Sri Lanka,no result,Auckland,"[3, 2, 2, 4, 7, 8, 2, 10, 10, 10, 10]",3.0,"[79.56, 86.23, 78.86, 78.96, 82.9, 72.27, 32.8, 118.96, 33.92, 35.35, 31.91]",0,0
Sri Lanka,field,New Zealand,Sri Lanka,Sri Lanka,Hamilton,"[3, 7, 2, 5, 7, 1, 7, 9, 10, 10, 10]",1.0,"[87.29, 96.37, 85.71, 83.32, 108.72, 82.98, 114.5, 22.03, 33.7, 26.39, 26.3]",6,0
New Zealand,bat,New Zealand,Sri Lanka,New Zealand,Christchurch,"[5, 7, 2, 7, 2, 9, 7, 7, 1, 10, 7]",2.0,"[87.29, 96.37, 85.71, 83.32, 82.98, 108.72, 114.5, 22.03, 24.98, 26.39, 24.38]",3,0
Sri Lanka,bat,Sri Lanka,England,Sri Lanka,Colombo (RPS),"[5, 7, 2, 7, 7, 2, 9, 7, 1, 10, 10]",3.0,"[79.56, 86.23, 78.86, 78.96, 82.9, 72.27, 118.96, 32.8, 33.92, 35.35, 32.66]",0,87
Sri Lanka,bat,Sri Lanka,England,Sri Lanka,Pallekele,"[7, 2, 2, 5, 7, 1, 7, 9, 10, 10, 10]",1.0,"[78.96, 86.23, 78.86, 82.9, 74.24, 32.8, 94.6, 118.96, 72.27, 32.42, 76.38]",0,90
Sri Lanka,bat,Sri Lanka,England,England,Pallekele,"[8, 3, 4, 1, 8, 4, 2, 7, 7, 10, 10]",2.0,"[78.96, 86.23, 78.86, 94.6, 82.9, 74.24, 32.8, 118.96, 72.27, 35.35, 32.42]",5,0
England,field,Sri Lanka,England,Sri Lanka,Colombo (RPS),"[7, 2, 2, 1, 7, 1, 7, 9, 10, 10, 10]",2.0,"[86.23, 92.88, 78.86, 78.96, 82.9, 72.27, 118.96, 32.8, 35.35, 30.5, 21.86]",6,0
England,bat,Sri Lanka,England,England,Hambantota,"[3, 8, 1, 1, 4, 8, 2, 7, 7, 10, 10]",1.0,"[98.16, 95.72, 80.12, 86.77, 77.84, 91.16, 117.11, 95.68, 89.12, 36.08, 29.37]",5,0
Sri Lanka,bat,Sri Lanka,England,Sri Lanka,Colombo (RPS),"[7, 2, 2, 5, 7, 9, 1, 7, 10, 10, 10]",3.0,"[86.23, 92.88, 78.86, 61.9, 82.9, 72.27, 118.96, 32.8, 30.5, 31.91, 21.86]",8,0
England,bat,Sri Lanka,England,Sri Lanka,Colombo (RPS),"[2, 7, 2, 5, 7, 1, 9, 7, 10, 10, 10]",3.0,"[77.13, 98.16, 77.16, 86.77, 91.16, 77.84, 117.11, 89.12, 67.35, 29.37, 18.33]",0,25
England,field,India,Sri Lanka,India,Ranchi,"[1, 1, 4, 1, 4, 5, 7, 9, 10, 10, 10]",3.0,"[86.23, 92.88, 78.86, 78.96, 82.9, 32.8, 72.27, 118.96, 30.5, 31.91, 21.86]",3,0
Sri Lanka,bat,India,Sri Lanka,India,Eden Gardens,"[2, 7, 2, 5, 7, 7, 7, 9, 7, 10, 10]",2.0,"[93.41, 86.23, 74.24, 78.96, 82.9, 72.27, 32.8, 94.6, 21.86, 32.66, 43.55]",0,153
India,bat,India,Sri Lanka,India,Hyderabad,"[2, 7, 2, 5, 7, 7, 7, 9, 10, 10, 10]",3.0,"[78.63, 91.97, 84.0, 93.58, 93.5, 118.0, 93.49, 32.86, 38.2, 33.63, 18.33]",6,0
Sri Lanka,bat,India,Sri Lanka,India,Ahmedabad,"[1, 3, 4, 1, 4, 2, 9, 9, 10, 10, 10]",3.0,"[92.88, 86.23, 78.86, 78.96, 82.9, 87.09, 100.0, 32.8, 94.6, 33.92, 43.55]",6,0
Sri Lanka,bat,India,Sri Lanka,India,Cuttack,"[3, 3, 7, 4, 1, 4, 4, 7, 10, 10, 10]",1.0,"[92.88, 86.23, 78.86, 78.96, 82.9, 94.6, 87.09, 32.8, 33.72, 30.5, 43.55]",0,169
Sri Lanka,field,Sri Lanka,Pakistan,Sri Lanka,Dambulla,"[5, 7, 2, 5, 7, 7, 7, 9, 10, 10, 10]",3.0,"[78.63, 91.35, 93.5, 93.58, 84.0, 73.21, 32.86, 33.2, 33.63, 38.09, 30.98]",7,0
Pakistan,bat,Sri Lanka,Pakistan,Sri Lanka,Hambantota,"[5, 7, 2, 5, 2, 7, 9, 7, 10, 10, 10]",1.0,"[72.08, 113.4, 76.61, 73.75, 74.47, 86.04, 116.66, 117.0, 34.3, 22.72, 30.71]",0,77
Sri Lanka,bat,Sri Lanka,Pakistan,Pakistan,Hambantota,"[1, 2, 7, 2, 8, 4, 7, 10, 10, 10, 10]",2.0,"[75.92, 86.23, 78.86, 78.96, 82.9, 94.6, 87.09, 32.8, 33.92, 28.87, 31.91]",4,0
Pakistan,field,Sri Lanka,South Africa,South Africa,Hambantota,"[2, 7, 2, 1, 5, 7, 7, 10, 10, 10, 10]",3.0,"[75.92, 86.23, 78.86, 78.96, 74.24, 82.9, 32.8, 87.09, 33.92, 31.91, 28.87]",0,82
South Africa,bat,Sri Lanka,South Africa,Sri Lanka,Pallekele,"[1, 2, 7, 2, 8, 4, 7, 7, 10, 10, 10]",2.0,"[88.39, 96.64, 72.89, 101.09, 84.55, 144.55, 71.32, 25.32, 25.95, 30.4, 24.83]",0,87
Sri Lanka,bat,Sri Lanka,South Africa,South Africa,Colombo (RPS),"[3, 1, 4, 1, 4, 8, 2, 10, 7, 10, 10]",3.0,"[92.88, 86.23, 78.86, 72.27, 78.96, 82.9, 87.09, 33.92, 35.35, 21.86, 28.87]",0,75
South Africa,bat,England,Sri Lanka,Sri Lanka,Birmingham,"[7, 2, 2, 5, 7, 1, 7, 10, 10, 10, 10]",1.0,"[88.39, 96.64, 72.89, 101.09, 84.55, 144.55, 71.32, 70.89, 25.95, 25.32, 24.83]",6,0
England,bat,England,Sri Lanka,Sri Lanka,Lord's,"[1, 7, 2, 5, 2, 7, 7, 10, 10, 10, 10]",2.0,"[77.13, 77.16, 71.04, 86.77, 91.16, 77.84, 117.11, 36.08, 67.35, 29.22, 18.33]",0,7
England,field,England,Sri Lanka,England,Manchester,"[1, 7, 2, 5, 7, 7, 2, 10, 10, 10, 10]",3.0,"[86.23, 92.88, 78.86, 78.96, 82.9, 72.27, 87.09, 33.92, 35.35, 21.86, 28.87]",10,0
England,field,England,Sri Lanka,Sri Lanka,Chester-le-Street,"[3, 1, 4, 4, 1, 8, 2, 10, 7, 10, 10]",1.0,"[72.27, 86.23, 78.86, 78.96, 74.24, 82.9, 87.09, 33.92, 35.35, 31.91, 28.87]",0,157
England,field,England,Sri Lanka,England,The Oval,"[2, 5, 1, 2, 7, 4, 7, 10, 10, 10, 10]",3.0,"[72.27, 86.23, 78.86, 78.96, 82.9, 87.09, 74.24, 33.92, 35.35, 30.5, 28.87]",0,81
Sri Lanka,field,Ireland,Sri Lanka,Sri Lanka,Dublin,"[3, 3, 7, 4, 1, 4, 7, 10, 10, 10, 10]",2.0,"[77.13, 77.16, 71.04, 91.16, 86.77, 77.84, 117.11, 36.08, 67.35, 29.22, 18.33]",0,79
Ireland,field,Pakistan,Sri Lanka,Sri Lanka,Mirpur,"[2, 3, 4, 2, 7, 7, 7, 7, 10, 10, 10]",1.0,"[92.88, 75.92, 72.27, 74.24, 82.9, 83.33, 87.09, 33.92, 35.35, 21.86, 32.42]",5,0
Pakistan,bat,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[2, 1, 2, 5, 2, 7, 7, 9, 10, 10, 10]",2.0,"[113.4, 72.08, 76.61, 73.75, 74.47, 86.04, 117.0, 36.5, 29.34, 22.72, 29.23]",3,0
Bangladesh,bat,Afghanistan,Sri Lanka,Sri Lanka,Mirpur,"[1, 3, 1, 1, 4, 2, 7, 7, 9, 10, 10]",3.0,"[74.77, 76.0, 74.36, 79.74, 82.84, 79.81, 76.92, 112.72, 19.16, 34.31, 27.63]",0,129
Sri Lanka,bat,India,Sri Lanka,Sri Lanka,Fatullah,"[2, 1, 2, 5, 7, 9, 7, 2, 10, 10, 10]",2.0,"[92.88, 72.27, 78.86, 78.96, 74.24, 82.9, 100.0, 32.8, 28.87, 21.86, 32.42]",2,0
Sri Lanka,field,Pakistan,Sri Lanka,Sri Lanka,Fatullah,"[2, 3, 4, 2, 7, 7, 7, 10, 10, 10, 10]",1.0,"[91.97, 91.35, 93.58, 78.63, 84.0, 73.24, 85.06, 93.49, 33.2, 35.11, 23.68]",0,12
Sri Lanka,bat,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[2, 7, 2, 2, 7, 7, 9, 4, 10, 10, 10]",1.0,"[92.88, 72.27, 78.86, 78.96, 82.9, 32.8, 100.0, 74.24, 35.35, 28.87, 32.42]",6,0
Sri Lanka,field,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[2, 7, 2, 2, 7, 7, 4, 10, 9, 10, 10]",2.0,"[74.77, 76.0, 74.36, 79.74, 66.19, 79.81, 76.92, 32.81, 36.12, 19.16, 34.31]",0,61
