Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
Afghanistan,bat,Sri Lanka,Afghanistan,Sri Lanka,Hambantota,"[1, 3, 2, 2, 8, 7, 7, 7, 10, 10, 10]",2.0,"[88.53, 80.44, 71.45, 68.6, 86.62, 138.54, 124.92, 20.48, 28.34, 22.83, 19.58]",9,0
Sri Lanka,bat,Sri Lanka,Afghanistan,Sri Lanka,Hambantota,"[1, 3, 2, 7, 8, 7, 7, 7, 10, 10, 10]",3.0,"[90.96, 79.56, 86.6, 95.66, 89.79, 78.59, 91.47, 111.04, 29.5, 35.17, 36.11]",0,132
Afghanistan,field,Sri Lanka,Afghanistan,Afghanistan,Hambantota,"[1, 5, 2, 7, 8, 7, 7, 9, 7, 10, 10]",3.0,"[90.96, 79.56, 86.6, 82.9, 89.79, 78.59, 91.47, 60.6, 32.28, 36.11, 17.09]",6,0
Sri Lanka,bat,New Zealand,Sri Lanka,New Zealand,Hamilton,"[1, 1, 1, 8, 2, 7, 8, 10, 10, 10, 10]",3.0,"[90.96, 62.5, 86.6, 82.9, 89.79, 78.59, 91.47, 31.87, 111.04, 36.11, 32.28]",6,0
Sri Lanka,field,New Zealand,Sri Lanka,New Zealand,Auckland,"[1, 3, 1, 1, 2, 5, 9, 9, 10, 10, 10]",2.0,"[119.87, 163.6, 87.91, 98.07, 85.71, 97.48, 108.03, 70.5, 26.39, 35.73, 42.43]",0,198
India,bat,India,Sri Lanka,India,Thiruvananthapuram,"[3, 5, 2, 7, 8, 7, 7, 10, 9, 10, 10]",2.0,"[91.97, 103.46, 93.58, 101.27, 87.82, 105.02, 32.86, 28.94, 26.01, 23.68, 22.79]",0,317
Sri Lanka,bat,India,Sri Lanka,India,Eden Gardens,"[1, 3, 1, 1, 2, 7, 9, 10, 10, 10, 10]",3.0,"[92.91, 62.5, 86.6, 78.59, 89.79, 91.47, 111.04, 34.47, 31.87, 36.11, 32.28]",4,0
Sri Lanka,field,India,Sri Lanka,India,Guwahati,"[2, 3, 7, 1, 4, 7, 8, 9, 10, 10, 10]",2.0,"[91.97, 103.46, 93.58, 101.27, 87.82, 110.35, 32.86, 23.68, 22.79, 25.09, 22.09]",0,67
Afghanistan,bat,Sri Lanka,Afghanistan,Sri Lanka,Pallekele,"[2, 3, 7, 1, 4, 8, 7, 9, 10, 10, 10]",1.0,"[88.53, 80.44, 71.45, 68.6, 138.54, 86.62, 124.92, 20.48, 27.66, 28.34, 22.83]",4,0
Afghanistan,bat,Sri Lanka,Afghanistan,no result,Pallekele,"[2, 3, 7, 4, 8, 9, 7, 1, 10, 10, 10]",3.0,"[88.53, 80.44, 71.45, 68.6, 138.54, 124.92, 86.62, 20.48, 28.34, 22.83, 43.42]",0,0
Afghanistan,bat,Sri Lanka,Afghanistan,Afghanistan,Pallekele,"[7, 1, 2, 2, 8, 7, 10, 9, 10, 10, 10]",3.0,"[88.53, 80.44, 71.45, 138.54, 124.92, 20.48, 86.62, 68.6, 28.34, 43.42, 22.83]",0,60
Sri Lanka,bat,Sri Lanka,Australia,Australia,Colombo (RPS),"[2, 1, 2, 7, 8, 7, 10, 9, 7, 10, 10]",3.0,"[86.82, 90.96, 86.6, 74.24, 89.79, 91.47, 34.47, 31.87, 31.44, 18.83, 29.5]",4,0
Australia,field,Sri Lanka,Australia,Sri Lanka,Colombo (RPS),"[3, 1, 7, 5, 2, 4, 8, 8, 10, 10, 10]",2.0,"[93.41, 90.96, 86.6, 78.59, 89.79, 91.47, 34.47, 31.87, 111.04, 31.44, 29.5]",0,4
Australia,bat,Sri Lanka,Australia,Sri Lanka,Colombo (RPS),"[7, 1, 2, 7, 8, 7, 9, 10, 10, 10, 10]",2.0,"[97.26, 87.73, 96.18, 83.04, 88.4, 102.56, 126.91, 81.77, 29.37, 31.83, 26.34]",6,0
Australia,field,Sri Lanka,Australia,Sri Lanka,Pallekele,"[7, 1, 2, 7, 8, 7, 9, 7, 10, 10, 10]",1.0,"[86.82, 90.96, 86.6, 78.59, 89.79, 91.47, 31.87, 34.47, 31.44, 35.17, 29.5]",0,26
Sri Lanka,bat,Sri Lanka,Australia,Australia,Pallekele,"[1, 2, 7, 2, 8, 7, 9, 7, 10, 10, 10]",3.0,"[86.82, 90.96, 86.6, 78.59, 89.79, 91.47, 31.87, 111.04, 34.47, 35.17, 29.5]",2,0
Sri Lanka,bat,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,"[3, 2, 4, 4, 7, 8, 4, 10, 10, 10, 10]",3.0,"[90.96, 86.6, 59.34, 74.24, 89.79, 91.47, 31.87, 100.0, 35.17, 31.44, 29.5]",0,184
